Year,Units,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2020,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.6
2021,percentage,,…,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2020,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,26
2021,percentage,female,…,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2020,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,59
2021,percentage,male,…,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,divers,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2020,percentage,divers,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,5.2
2021,percentage,divers,…,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,number,,.,,,private persons (donors) suspected in the context of corruption offences,
2020,number,,,,,private persons (donors) suspected in the context of corruption offences,2.8
2021,number,,…,,,private persons (donors) suspected in the context of corruption offences,
