Year,degree of urbanisation,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,cities,,,,,overcrowding rate,50.5
2011,cities,,,,,overcrowding rate,50.1
2012,cities,,,,,overcrowding rate,51.2
2013,cities,,,,,overcrowding rate,51.5
2014,cities,,,,,overcrowding rate,51.4
2015,cities,,,,,overcrowding rate,51.8
2016,cities,,,,,overcrowding rate,52.0
2017,cities,,,,,overcrowding rate,52.1
2018,cities,,,,,overcrowding rate,53.1
2019,cities,,,,,overcrowding rate,53.8
2020,cities,,,,,overcrowding rate,55.1
2021,cities,,p,,,overcrowding rate,53.5
2022,cities,,p,,,overcrowding rate,52.8
2023,cities,,p,,,overcrowding rate,53.3
2024,cities,,p,,,overcrowding rate,54.7
2010,towns and suburbs,,,,,overcrowding rate,55.4
2011,towns and suburbs,,,,,overcrowding rate,55.5
2012,towns and suburbs,,,,,overcrowding rate,54.4
2013,towns and suburbs,,,,,overcrowding rate,56.4
2014,towns and suburbs,,,,,overcrowding rate,57.7
2015,towns and suburbs,,,,,overcrowding rate,56.4
2016,towns and suburbs,,,,,overcrowding rate,55.5
2017,towns and suburbs,,,,,overcrowding rate,54.4
2018,towns and suburbs,,,,,overcrowding rate,56.4
2019,towns and suburbs,,,,,overcrowding rate,55.4
2020,towns and suburbs,,|,,,overcrowding rate,54.9
2021,towns and suburbs,,,,,overcrowding rate,56.4
2022,towns and suburbs,,,,,overcrowding rate,48.9
2023,towns and suburbs,,,,,overcrowding rate,48.9
2024,towns and suburbs,,,,,overcrowding rate,48.7
2010,rural areas,,,,,overcrowding rate,29.3
2011,rural areas,,,,,overcrowding rate,29.0
2012,rural areas,,,,,overcrowding rate,28.3
2013,rural areas,,,,,overcrowding rate,29.7
2014,rural areas,,,,,overcrowding rate,30.7
2015,rural areas,,,,,overcrowding rate,30.1
2016,rural areas,,,,,overcrowding rate,29.5
2017,rural areas,,,,,overcrowding rate,29.1
2018,rural areas,,,,,overcrowding rate,31.1
2019,rural areas,,,,,overcrowding rate,29.7
2020,rural areas,,|,,,overcrowding rate,30.5
2021,rural areas,,,,,overcrowding rate,31.2
2022,rural areas,,,,,overcrowding rate,29.0
2023,rural areas,,,,,overcrowding rate,29.4
2024,rural areas,,,,,overcrowding rate,29.5
2010,cities,,,,,housing cost overburden rate,26.1
2011,cities,,,,,housing cost overburden rate,26.5
2012,cities,,,,,housing cost overburden rate,27.1
2013,cities,,,,,housing cost overburden rate,26.7
2014,cities,,,,,housing cost overburden rate,27.0
2015,cities,,,,,housing cost overburden rate,26.3
2016,cities,,,,,housing cost overburden rate,26.0
2017,cities,,,,,housing cost overburden rate,25.3
2018,cities,,,,,housing cost overburden rate,25.3
2019,cities,,,,,housing cost overburden rate,25.7
2020,cities,,|,,,housing cost overburden rate,24.4
2021,cities,,,,,housing cost overburden rate,25.2
2022,cities,,,,,housing cost overburden rate,19.9
2023,cities,,,,,housing cost overburden rate,19.5
2024,cities,,,,,housing cost overburden rate,19.2
2010,towns and suburbs,,,,,housing cost overburden rate,4.30
2011,towns and suburbs,,,,,housing cost overburden rate,4.36
2012,towns and suburbs,,,,,housing cost overburden rate,4.73
2013,towns and suburbs,,,,,housing cost overburden rate,5.45
2014,towns and suburbs,,,,,housing cost overburden rate,5.61
2015,towns and suburbs,,,,,housing cost overburden rate,5.94
2016,towns and suburbs,,,,,housing cost overburden rate,5.98
2017,towns and suburbs,,,,,housing cost overburden rate,6.33
2018,towns and suburbs,,,,,housing cost overburden rate,6.47
2019,towns and suburbs,,|,,,housing cost overburden rate,6.31
2020,towns and suburbs,,,,,housing cost overburden rate,5.93
2021,towns and suburbs,,,,,housing cost overburden rate,5.94
2022,towns and suburbs,,|,,,housing cost overburden rate,7.29
2023,towns and suburbs,,,,,housing cost overburden rate,7.30
2010,rural areas,,,,,housing cost overburden rate,11.83
2011,rural areas,,,,,housing cost overburden rate,12.14
2012,rural areas,,,,,housing cost overburden rate,14.18
2013,rural areas,,,,,housing cost overburden rate,15.57
2014,rural areas,,,,,housing cost overburden rate,15.35
2015,rural areas,,,,,housing cost overburden rate,15.72
2016,rural areas,,,,,housing cost overburden rate,16.28
2017,rural areas,,,,,housing cost overburden rate,16.93
2018,rural areas,,,,,housing cost overburden rate,16.62
2019,rural areas,,|,,,housing cost overburden rate,16.54
2020,rural areas,,,,,housing cost overburden rate,17.15
2021,rural areas,,,,,housing cost overburden rate,16.84
2022,rural areas,,|,,,housing cost overburden rate,17.15
2023,rural areas,,,,,housing cost overburden rate,17.69
2024,rural areas,,,,,housing cost overburden rate,18.25
2010,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",34.22
2011,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",31.63
2012,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",27.41
2013,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",24.98
2014,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",21.28
2015,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",17.36
2016,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",14.68
2017,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.89
2018,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",9.06
2019,,,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",7.43
2020,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",7.85
2021,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",6.93
2022,,,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.30
2023,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",16.08
2024,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",18.58
2010,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",3.20
2011,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",3.03
2012,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",2.86
2013,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",2.70
2014,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",2.34
2015,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.97
2016,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.71
2017,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.50
2018,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.24
2019,,female,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.38
2020,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.68
2021,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.34
2022,,female,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.23
2023,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.54
2024,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",1.77
2010,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.37
2011,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.53
2012,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.45
2013,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.36
2014,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.37
2015,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.40
2016,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.37
2017,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.37
2018,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.32
2019,,male,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.24
2020,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.16
2021,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.34
2022,,male,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.35
2023,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.51
2024,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",0.58
2010,,,,,,"population having neither a bath, nor a shower in their dwelling",136.99
2011,,,,,,"population having neither a bath, nor a shower in their dwelling",137.86
2012,,,,,,"population having neither a bath, nor a shower in their dwelling",144.17
2013,,,,,,"population having neither a bath, nor a shower in their dwelling",140.50
2014,,,,,,"population having neither a bath, nor a shower in their dwelling",145.48
2015,,,,,,"population having neither a bath, nor a shower in their dwelling",146.50
2016,,,,,,"population having neither a bath, nor a shower in their dwelling",146.62
2017,,,,,,"population having neither a bath, nor a shower in their dwelling",151.25
2018,,,,,,"population having neither a bath, nor a shower in their dwelling",151.70
2019,,,|,,,"population having neither a bath, nor a shower in their dwelling",161.25
2020,,,,,,"population having neither a bath, nor a shower in their dwelling",169.64
2021,,,,,,"population having neither a bath, nor a shower in their dwelling",33.72
2022,,,|,,,"population having neither a bath, nor a shower in their dwelling",33.67
2023,,,,,,"population having neither a bath, nor a shower in their dwelling",35.66
2024,,,,,,"population having neither a bath, nor a shower in their dwelling",33.46
2010,,female,,,,"population having neither a bath, nor a shower in their dwelling",4.40
2011,,female,,,,"population having neither a bath, nor a shower in their dwelling",4.48
2012,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.93
2013,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.84
2014,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.95
2015,,female,,,,"population having neither a bath, nor a shower in their dwelling",4.62
2016,,female,,,,"population having neither a bath, nor a shower in their dwelling",4.00
2017,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.67
2018,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.19
2019,,female,|,,,"population having neither a bath, nor a shower in their dwelling",3.72
2020,,female,,,,"population having neither a bath, nor a shower in their dwelling",3.40
2021,,female,,,,"population having neither a bath, nor a shower in their dwelling",4.35
2022,,female,|,,,"population having neither a bath, nor a shower in their dwelling",3.63
2023,,female,,,,"population having neither a bath, nor a shower in their dwelling",2.70
2018,,male,,,,"population having neither a bath, nor a shower in their dwelling",2
2020,,male,,,,"population having neither a bath, nor a shower in their dwelling",3
2018,,,,,,population not having indoor flushing toilet for the sole use of their household,3
2020,,,,,,population not having indoor flushing toilet for the sole use of their household,3
2018,,female,,,,population not having indoor flushing toilet for the sole use of their household,3
2020,,female,,,,population not having indoor flushing toilet for the sole use of their household,3
2018,,male,,,,population not having indoor flushing toilet for the sole use of their household,4
2020,,male,,,,population not having indoor flushing toilet for the sole use of their household,4
2018,,,,,,population considering their dwelling as too dark,3
2020,,,,,,population considering their dwelling as too dark,4
2018,,female,,,,population considering their dwelling as too dark,1
2020,,female,,,,population considering their dwelling as too dark,3
2018,,male,,,,population considering their dwelling as too dark,4
2020,,male,,,,population considering their dwelling as too dark,4
