Year,Units,COMMENT_OBS,Value,Series
2010,million tonnes,r,1242,raw material consumption (rmc)
2011,million tonnes,r,1357,raw material consumption (rmc)
2012,million tonnes,r,1279,raw material consumption (rmc)
2013,million tonnes,r,1273,raw material consumption (rmc)
2014,million tonnes,r,1286,raw material consumption (rmc)
2015,million tonnes,r,1238,raw material consumption (rmc)
2016,million tonnes,r,1291,raw material consumption (rmc)
2017,million tonnes,r,1318,raw material consumption (rmc)
2018,million tonnes,,1319,raw material consumption (rmc)
2010,tonnes per capita,r,15.5,raw material consumption (rmc)
2011,tonnes per capita,r,16.9,raw material consumption (rmc)
2012,tonnes per capita,r,15.9,raw material consumption (rmc)
2013,tonnes per capita,r,15.8,raw material consumption (rmc)
2014,tonnes per capita,r,15.9,raw material consumption (rmc)
2015,tonnes per capita,r,15.2,raw material consumption (rmc)
2016,tonnes per capita,r,15.7,raw material consumption (rmc)
2017,tonnes per capita,r,15.9,raw material consumption (rmc)
2018,tonnes per capita,,15.9,raw material consumption (rmc)
2010,2015 = 100,r,109.1,raw material consumption per real gdp
2011,2015 = 100,r,114.7,raw material consumption per real gdp
2012,2015 = 100,r,107.6,raw material consumption per real gdp
2013,2015 = 100,r,106.7,raw material consumption per real gdp
2014,2015 = 100,r,105.4,raw material consumption per real gdp
2015,2015 = 100,r,100.0,raw material consumption per real gdp
2016,2015 = 100,r,102.0,raw material consumption per real gdp
2017,2015 = 100,r,101.4,raw material consumption per real gdp
2018,2015 = 100,,100.5,raw material consumption per real gdp
