Year,sex,age group,feelings of insecurity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,,,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2017,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.4
2018,,,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2017,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.8
2020,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.5
2017,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),1.3
2020,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.7
2019,,,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6.8
2021,,,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,female,,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,female,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),15.4
2021,female,,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,female,,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,female,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),10.7
2021,female,,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,female,,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,female,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),7.4
2021,female,,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,female,,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,female,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.9
2021,female,,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,male,,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,male,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.7
2021,male,,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,male,,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,male,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.6
2021,male,,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,male,,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,male,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.7
2021,male,,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,male,,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,male,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6
2021,male,,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,16 to under 25 years,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,16 to under 25 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),7.6
2021,,16 to under 25 years,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,16 to under 25 years,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,16 to under 25 years,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.1
2021,,16 to under 25 years,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,16 to under 25 years,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,16 to under 25 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.7
2021,,16 to under 25 years,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
