Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,43.5
2011,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,41.6
2012,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,41.5
2013,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,41.2
2014,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,38.7
2015,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,40.4
2016,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,41.6
2017,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,40.6
2018,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,38.7
2019,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,38.7
2020,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,r,,,35.8
2021,percentage,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,36.4
2010,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.7
2011,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.0
2012,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.6
2013,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.3
2014,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.5
2015,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.1
2016,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,15.5
2017,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,14.4
2018,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,,,,13.8
2019,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,.,,,
2020,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,.,,,
2021,hectare,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,…,,,
2010,hectare,terrestrial and freshwater areas covered by protected areas,,,,85.7
2011,hectare,terrestrial and freshwater areas covered by protected areas,r,,,84.5
2012,hectare,terrestrial and freshwater areas covered by protected areas,r,,,82.3
2013,hectare,terrestrial and freshwater areas covered by protected areas,r,,,83.2
2014,hectare,terrestrial and freshwater areas covered by protected areas,r,,,84.5
2015,hectare,terrestrial and freshwater areas covered by protected areas,r,,,83.9
2016,hectare,terrestrial and freshwater areas covered by protected areas,r,,,83.5
2017,hectare,terrestrial and freshwater areas covered by protected areas,r,,,82.1
2018,hectare,terrestrial and freshwater areas covered by protected areas,,,,80.6
2019,hectare,terrestrial and freshwater areas covered by protected areas,r,,,77.1
2020,hectare,terrestrial and freshwater areas covered by protected areas,r,,,73.7
2021,hectare,terrestrial and freshwater areas covered by protected areas,,,,75.0
2010,percentage,terrestrial and freshwater areas covered by protected areas,r,,,300.8
2011,percentage,terrestrial and freshwater areas covered by protected areas,r,,,290.4
2012,percentage,terrestrial and freshwater areas covered by protected areas,r,,,295.4
2013,percentage,terrestrial and freshwater areas covered by protected areas,r,,,291.1
2014,percentage,terrestrial and freshwater areas covered by protected areas,r,,,284.7
2015,percentage,terrestrial and freshwater areas covered by protected areas,r,,,279.9
2016,percentage,terrestrial and freshwater areas covered by protected areas,r,,,280.1
2017,percentage,terrestrial and freshwater areas covered by protected areas,r,,,265.3
2018,percentage,terrestrial and freshwater areas covered by protected areas,r,,,258.4
2019,percentage,terrestrial and freshwater areas covered by protected areas,r,,,231.2
2020,percentage,terrestrial and freshwater areas covered by protected areas,r,,,208.8
2021,percentage,terrestrial and freshwater areas covered by protected areas,,,,221.0
2010,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,34.2
