Year,Units,measurement parameter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,‒,,,0.0
2011,million eur,commitments,‒,,,0.0
2012,million eur,commitments,‒,,,0.0
2013,million eur,commitments,‒,,,0.0
2014,million eur,commitments,‒,,,0.0
2015,million eur,commitments,‒,,,0.0
2016,million eur,commitments,,,,9.0
2017,million eur,commitments,‒,,,0.0
2018,million eur,commitments,‒,,,0.0
2019,million eur,commitments,,,,3.3
2020,million eur,commitments,,,,26.5
2021,million eur,commitments,r,,,25.0
2022,million eur,commitments,,,,30.0
2010,million eur,gross disbursements,‒,,,0.00
2011,million eur,gross disbursements,‒,,,0.00
2012,million eur,gross disbursements,‒,,,0.00
2013,million eur,gross disbursements,‒,,,0.00
2014,million eur,gross disbursements,‒,,,0.00
2015,million eur,gross disbursements,‒,,,0.00
2016,million eur,gross disbursements,,,,9.00
2017,million eur,gross disbursements,‒,,,0.00
2018,million eur,gross disbursements,‒,,,0.00
2019,million eur,gross disbursements,,,,0.03
2020,million eur,gross disbursements,,,,24.75
2021,million eur,gross disbursements,r,,,25.46
2022,million eur,gross disbursements,,,,30.24
2010,"million usd, constant prices (2022)",commitments,‒,,,0.00
2011,"million usd, constant prices (2022)",commitments,‒,,,0.00
2012,"million usd, constant prices (2022)",commitments,‒,,,0.00
2013,"million usd, constant prices (2022)",commitments,‒,,,0.00
2014,"million usd, constant prices (2022)",commitments,‒,,,0.00
2015,"million usd, constant prices (2022)",commitments,‒,,,0.00
2016,"million usd, constant prices (2022)",commitments,,,,11.06
2017,"million usd, constant prices (2022)",commitments,‒,,,0.00
2018,"million usd, constant prices (2022)",commitments,‒,,,0.00
2019,"million usd, constant prices (2022)",commitments,,,,3.83
2020,"million usd, constant prices (2022)",commitments,,,,30.22
2021,"million usd, constant prices (2022)",commitments,,,,27.68
2022,"million usd, constant prices (2022)",commitments,,,,31.55
2010,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2011,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2012,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2013,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2014,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2015,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2016,"million usd, constant prices (2022)",gross disbursements,,,,11.06
2017,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2018,"million usd, constant prices (2022)",gross disbursements,‒,,,0.00
2019,"million usd, constant prices (2022)",gross disbursements,,,,0.03
2020,"million usd, constant prices (2022)",gross disbursements,,,,28.23
2021,"million usd, constant prices (2022)",gross disbursements,,,,28.19
2022,"million usd, constant prices (2022)",gross disbursements,,,,31.80
