Year,sea,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,47.6
2022,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,58.0
2010,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2011,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2012,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2013,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2014,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2015,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2016,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2017,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2018,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2019,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,10
2020,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,9
2021,greater north sea,r,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,9
2022,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,2
2010,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2011,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2012,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2013,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2014,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2015,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2016,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2017,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2018,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2019,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,3
2020,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,2
2021,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,2
2022,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,2
2010,,,,,msy examined fish stocks in all managed stocks,7
2011,,,,,msy examined fish stocks in all managed stocks,0
2012,,,,,msy examined fish stocks in all managed stocks,0
2013,,,,,msy examined fish stocks in all managed stocks,0
2014,,,,,msy examined fish stocks in all managed stocks,0
2015,,,,,msy examined fish stocks in all managed stocks,7
2016,,,,,msy examined fish stocks in all managed stocks,7
2017,,,,,msy examined fish stocks in all managed stocks,7
2018,,,,,msy examined fish stocks in all managed stocks,7
2019,,,,,msy examined fish stocks in all managed stocks,7
2020,,,,,msy examined fish stocks in all managed stocks,7
2021,,r,,,msy examined fish stocks in all managed stocks,7
2022,,,,,msy examined fish stocks in all managed stocks,0
