Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,,0.80
2011,"per 100,000 inhabitants",,,,,,,0.82
2012,"per 100,000 inhabitants",,,,,,,0.76
2013,"per 100,000 inhabitants",,,,|,,,0.75
2014,"per 100,000 inhabitants",,,,,,,0.72
2015,"per 100,000 inhabitants",,,,,,,0.58
2016,"per 100,000 inhabitants",,,,,,,0.65
2017,"per 100,000 inhabitants",,,,,,,0.81
2018,"per 100,000 inhabitants",,,,,,,0.60
2019,"per 100,000 inhabitants",,,,,,,0.57
2020,"per 100,000 inhabitants",,,,,,,0.58
2021,"per 100,000 inhabitants",,,,,,,0.68
2022,"per 100,000 inhabitants",,,,,,,1.80
2023,"per 100,000 inhabitants",,,,,,,0.72
2024,"per 100,000 inhabitants",,,,|,,,0.76
2010,"per 100,000 inhabitants",,,labour exploitation,,,,0.05
2011,"per 100,000 inhabitants",,,labour exploitation,,,,0.04
2012,"per 100,000 inhabitants",,,labour exploitation,,,,0.02
2013,"per 100,000 inhabitants",,,labour exploitation,|,,,0.08
2014,"per 100,000 inhabitants",,,labour exploitation,,,,0.03
2015,"per 100,000 inhabitants",,,labour exploitation,,,,0.07
2016,"per 100,000 inhabitants",,,labour exploitation,,,,0.06
2017,"per 100,000 inhabitants",,,labour exploitation,,,,0.22
2018,"per 100,000 inhabitants",,,labour exploitation,,,,0.08
2019,"per 100,000 inhabitants",,,labour exploitation,,,,0.05
2020,"per 100,000 inhabitants",,,labour exploitation,,,,0.09
2021,"per 100,000 inhabitants",,,labour exploitation,,,,0.18
2022,"per 100,000 inhabitants",,,labour exploitation,,,,1.22
2023,"per 100,000 inhabitants",,,labour exploitation,,,,0.22
2024,"per 100,000 inhabitants",,,labour exploitation,|,,,0.20
2010,"per 100,000 inhabitants",female,,labour exploitation,,,,0.02
2011,"per 100,000 inhabitants",female,,labour exploitation,,,,0.06
2012,"per 100,000 inhabitants",female,,labour exploitation,,,,0.02
2013,"per 100,000 inhabitants",female,,labour exploitation,|,,,0.03
2014,"per 100,000 inhabitants",female,,labour exploitation,,,,0.01
2015,"per 100,000 inhabitants",female,,labour exploitation,,,,0.02
2016,"per 100,000 inhabitants",female,,labour exploitation,,,,0.03
2017,"per 100,000 inhabitants",female,,labour exploitation,,,,0.06
2018,"per 100,000 inhabitants",female,,labour exploitation,,,,0.02
2019,"per 100,000 inhabitants",female,,labour exploitation,,,,0.05
2020,"per 100,000 inhabitants",female,,labour exploitation,,,,0.04
2021,"per 100,000 inhabitants",female,,labour exploitation,,,,0.17
2022,"per 100,000 inhabitants",female,,labour exploitation,,,,0.63
2023,"per 100,000 inhabitants",female,,labour exploitation,,,,0.12
2024,"per 100,000 inhabitants",female,,labour exploitation,|,,,0.06
2010,"per 100,000 inhabitants",male,,labour exploitation,,,,0.08
2011,"per 100,000 inhabitants",male,,labour exploitation,,,,0.02
2012,"per 100,000 inhabitants",male,,labour exploitation,,,,0.01
2013,"per 100,000 inhabitants",male,,labour exploitation,|,,,0.12
2014,"per 100,000 inhabitants",male,,labour exploitation,,,,0.06
2015,"per 100,000 inhabitants",male,,labour exploitation,,,,0.11
2016,"per 100,000 inhabitants",male,,labour exploitation,,,,0.08
2017,"per 100,000 inhabitants",male,,labour exploitation,,,,0.38
2018,"per 100,000 inhabitants",male,,labour exploitation,,,,0.13
2019,"per 100,000 inhabitants",male,,labour exploitation,,,,0.06
2020,"per 100,000 inhabitants",male,,labour exploitation,,,,0.13
2021,"per 100,000 inhabitants",male,,labour exploitation,,,,0.18
2022,"per 100,000 inhabitants",male,,labour exploitation,,,,1.82
2023,"per 100,000 inhabitants",male,,labour exploitation,,,,0.31
2024,"per 100,000 inhabitants",male,,labour exploitation,|,,,0.35
2010,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2011,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2012,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2013,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2014,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2015,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2016,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2017,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2018,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2019,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2020,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2021,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2022,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2023,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2024,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2010,"per 100,000 inhabitants",,,sexual exploitation,,,,0.75
2011,"per 100,000 inhabitants",,,sexual exploitation,,,,0.78
2012,"per 100,000 inhabitants",,,sexual exploitation,,,,0.75
2013,"per 100,000 inhabitants",,,sexual exploitation,|,,,0.67
2014,"per 100,000 inhabitants",,,sexual exploitation,,,,0.69
