Year,water use index,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,share of withdrawal in renewable water resources,16.40,r,,
2011,share of withdrawal in renewable water resources,,.,,
2012,share of withdrawal in renewable water resources,,.,,
2013,share of withdrawal in renewable water resources,13.87,r,,
2014,share of withdrawal in renewable water resources,,.,,
2015,share of withdrawal in renewable water resources,,.,,
2016,share of withdrawal in renewable water resources,15.67,r,,
2017,share of withdrawal in renewable water resources,,.,,
2018,share of withdrawal in renewable water resources,,.,,
2019,share of withdrawal in renewable water resources,16.25,,,
2010,share of withdrawal in renewable water resources (excluding cooling water),4.41,r,,
2011,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2012,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2013,share of withdrawal in renewable water resources (excluding cooling water),4.79,r,,
2014,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2015,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2016,share of withdrawal in renewable water resources (excluding cooling water),5.56,r,,
2017,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2018,share of withdrawal in renewable water resources (excluding cooling water),,.,,
2019,share of withdrawal in renewable water resources (excluding cooling water),6.96,,,
