Year,sex,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,,,.,,
2011,,,.,,
2012,,97.8,,,
2013,,98.2,,,
2014,,97.4,,,
2015,,98.0,,,
2016,,97.0,,,
2017,,102.0,,,
2018,,103.8,,,
2019,,100.5,,,
2020,,79.4,,,
2021,,88.4,,,
2022,,97.5,,,
2023,,101.7,,,
2010,female,,.,,
2011,female,,.,,
2012,female,101.1,,,
2013,female,99.5,,,
2014,female,91.7,,,
2015,female,91.3,,,
2016,female,97.0,,,
2017,female,87.9,,,
2018,female,83.0,,,
2019,female,84.4,,,
2020,female,69.2,,,
2021,female,76.4,,,
2022,female,74.0,,,
2023,female,90.8,,,
2010,male,,.,,
2011,male,,.,,
2012,male,,.,,
2013,male,,.,,
2014,male,,.,,
2015,male,93.1,,,
2016,male,,.,,
2017,male,94.7,,,
2018,male,,.,,
2019,male,97.0,,,
2020,male,,.,,
2021,male,96.9,,,
2022,male,,.,,
2023,male,95.7,,,
2010,divers,49.5,,,
2011,divers,49.8,,,
2012,divers,49.8,,,
2013,divers,49.7,,,
2014,divers,49.6,,,
2015,divers,49.4,,,
2016,divers,49.4,,,
2017,divers,49.4,,,
2018,divers,49.4,,,
2019,divers,49.4,,,
2020,divers,49.4,,,
2021,divers,49.4,,,
2022,divers,49.5,,,
2023,divers,49.4,,,
