Year,Units,fine particulate matter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,96.4
2018,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,96.5
2020,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,96.8
2016,micrograms per m³,pm2.5,.,,,population weighted annual mean levels of fine particulate matter,87.6
2018,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,88.0
2020,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,85.7
2016,million inhabitants,pm2.5,,,,population with excessive exposure to fine particulate matter,56.5
2018,million inhabitants,pm2.5,,,,population with excessive exposure to fine particulate matter,61.6
2020,million inhabitants,pm2.5,,,,population with excessive exposure to fine particulate matter,62.2
2016,million inhabitants,pm10,,,,population with excessive exposure to fine particulate matter,66.9
2018,million inhabitants,pm10,,,,population with excessive exposure to fine particulate matter,69.4
2020,million inhabitants,pm10,,,,population with excessive exposure to fine particulate matter,69.5
