Year,timeseries,poverty of the population,Value
2010,growth rate of net equivalent income of the total population,,-0.2
2011,growth rate of net equivalent income of the total population,,-1.8
2012,growth rate of net equivalent income of the total population,,0.4
2013,growth rate of net equivalent income of the total population,,-1.0
2014,growth rate of net equivalent income of the total population,,-0.3
2015,growth rate of net equivalent income of the total population,,4.5
2016,growth rate of net equivalent income of the total population,,2.8
2017,growth rate of net equivalent income of the total population,,2.0
2018,growth rate of net equivalent income of the total population,,2.5
2019,growth rate of net equivalent income of the total population,,-0.3
2020,growth rate of net equivalent income of the total population,,
2021,growth rate of net equivalent income of the total population,,
2010,growth rate of net equivalent income of the bottom 40 per cent of the population,,-0.6
2011,growth rate of net equivalent income of the bottom 40 per cent of the population,,-1.8
2012,growth rate of net equivalent income of the bottom 40 per cent of the population,,1.5
2013,growth rate of net equivalent income of the bottom 40 per cent of the population,,-3.3
2014,growth rate of net equivalent income of the bottom 40 per cent of the population,,-3.9
2015,growth rate of net equivalent income of the bottom 40 per cent of the population,,6.5
2016,growth rate of net equivalent income of the bottom 40 per cent of the population,,4.2
2017,growth rate of net equivalent income of the bottom 40 per cent of the population,,3.3
2018,growth rate of net equivalent income of the bottom 40 per cent of the population,,-1.3
2019,growth rate of net equivalent income of the bottom 40 per cent of the population,,2.1
2020,growth rate of net equivalent income of the bottom 40 per cent of the population,,
2021,growth rate of net equivalent income of the bottom 40 per cent of the population,,
2010,growth rate of per capita income,population total,1.9
2011,growth rate of per capita income,population total,-0.4
2012,growth rate of per capita income,population total,2.0
2013,growth rate of per capita income,population total,2.4
2014,growth rate of per capita income,population total,0.7
2015,growth rate of per capita income,population total,4.4
2016,growth rate of per capita income,population total,1.9
2017,growth rate of per capita income,population total,3.1
2018,growth rate of per capita income,population total,4.7
2019,growth rate of per capita income,population total,1.3
2020,growth rate of per capita income,population total,13.2
2021,growth rate of per capita income,population total,-2.2
2010,growth rate of per capita income,poorest 40 per cent of the population,2.4
2011,growth rate of per capita income,poorest 40 per cent of the population,-1.0
2012,growth rate of per capita income,poorest 40 per cent of the population,3.8
2013,growth rate of per capita income,poorest 40 per cent of the population,1.1
2014,growth rate of per capita income,poorest 40 per cent of the population,-2.0
2015,growth rate of per capita income,poorest 40 per cent of the population,5.5
2016,growth rate of per capita income,poorest 40 per cent of the population,3.1
2017,growth rate of per capita income,poorest 40 per cent of the population,4.4
2018,growth rate of per capita income,poorest 40 per cent of the population,3.3
2019,growth rate of per capita income,poorest 40 per cent of the population,4.6
2020,growth rate of per capita income,poorest 40 per cent of the population,8.3
2021,growth rate of per capita income,poorest 40 per cent of the population,-4.4
