Year,speed,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,48.8
2011,,,,,49.2
2012,,,,,49.7
2013,,,,,50.2
2014,,,,,50.5
2015,,,,,50.9
2016,,,,,51.6
2017,,,,,52.1
2018,,,,,52.4
2019,,,,,52.6
2020,,,,,52.9
2021,,,,,53.6
2022,,,,,53.6
2023,,,,,53.4
2010,a) over 144 kbps to under 2 mbps,,,,22.7
2011,a) over 144 kbps to under 2 mbps,,,,22.4
2012,a) over 144 kbps to under 2 mbps,,,,22.9
2013,a) over 144 kbps to under 2 mbps,,,,23.3
2014,a) over 144 kbps to under 2 mbps,,,,23.7
2015,a) over 144 kbps to under 2 mbps,,,,24.2
2016,a) over 144 kbps to under 2 mbps,,,,24.8
2017,a) over 144 kbps to under 2 mbps,,,,25.6
2018,a) over 144 kbps to under 2 mbps,,,,26.5
2019,a) over 144 kbps to under 2 mbps,,,,27.4
2020,a) over 144 kbps to under 2 mbps,,,,28.4
2021,a) over 144 kbps to under 2 mbps,,,,29.4
2022,a) over 144 kbps to under 2 mbps,r,,,30.2
2023,a) over 144 kbps to under 2 mbps,,,,31.2
2010,b) 2 mbps to under 10 mbps,,,,60.6
2011,b) 2 mbps to under 10 mbps,,,,61.0
2012,b) 2 mbps to under 10 mbps,,,,61.4
2013,b) 2 mbps to under 10 mbps,,,,61.7
2014,b) 2 mbps to under 10 mbps,,,,61.9
2015,b) 2 mbps to under 10 mbps,,,,62.2
2016,b) 2 mbps to under 10 mbps,,,,62.5
2017,b) 2 mbps to under 10 mbps,,,,62.7
2018,b) 2 mbps to under 10 mbps,,,,62.8
2019,b) 2 mbps to under 10 mbps,,,,63.0
2020,b) 2 mbps to under 10 mbps,,,,63.1
2021,b) 2 mbps to under 10 mbps,,,,63.2
2022,b) 2 mbps to under 10 mbps,,,,63.1
2023,b) 2 mbps to under 10 mbps,,,,63.3
2010,c) 10 mbps to under 30 mbps,,,,57.0
2011,c) 10 mbps to under 30 mbps,,,,57.4
2012,c) 10 mbps to under 30 mbps,,,,57.0
2013,c) 10 mbps to under 30 mbps,,,,56.9
2014,c) 10 mbps to under 30 mbps,,,,58.1
2015,c) 10 mbps to under 30 mbps,,,,58.4
2016,c) 10 mbps to under 30 mbps,,,,58.6
2017,c) 10 mbps to under 30 mbps,,,,57.9
2018,c) 10 mbps to under 30 mbps,,,,57.3
2019,c) 10 mbps to under 30 mbps,,,,57.9
2020,c) 10 mbps to under 30 mbps,,,,58.6
2021,c) 10 mbps to under 30 mbps,,,,59.4
2022,c) 10 mbps to under 30 mbps,,,,59.4
2023,c) 10 mbps to under 30 mbps,,,,59.3
2010,d) 30 mbps to under 100 mbps,,,,38.5
2011,d) 30 mbps to under 100 mbps,,,,39.3
2012,d) 30 mbps to under 100 mbps,,,,40.2
2013,d) 30 mbps to under 100 mbps,,,,41.1
2014,d) 30 mbps to under 100 mbps,,,,41.4
2015,d) 30 mbps to under 100 mbps,,,,43.4
2016,d) 30 mbps to under 100 mbps,,,,44.5
2017,d) 30 mbps to under 100 mbps,,,,45.4
2018,d) 30 mbps to under 100 mbps,,,,45.7
2019,d) 30 mbps to under 100 mbps,,,,46.5
2020,d) 30 mbps to under 100 mbps,,,,47.5
2021,d) 30 mbps to under 100 mbps,,,,48.4
2022,d) 30 mbps to under 100 mbps,,,,49.1
2023,d) 30 mbps to under 100 mbps,,,,49.9
2010,e) 100 mbps and over,,,,23.0
2011,e) 100 mbps and over,,,,23.0
2012,e) 100 mbps and over,,,,25.5
2013,e) 100 mbps and over,,,,24.3
2014,e) 100 mbps and over,,,,27.2
2015,e) 100 mbps and over,,,,27.2
2016,e) 100 mbps and over,,,,31.7
2017,e) 100 mbps and over,,,,31.7
2018,e) 100 mbps and over,,,,34.6
2019,e) 100 mbps and over,,,,34.6
2020,e) 100 mbps and over,,,,39.0
2021,e) 100 mbps and over,,,,39.0
2022,e) 100 mbps and over,,,,39.4
2023,e) 100 mbps and over,,,,39.4
