Year,Units,Sex,Unnamed: 3,Unnamed: 4,Value
2010,Population who were victims of criminal offences (%),,,1.2,
2011,Population who were victims of criminal offences (%),,,1.2,
2012,Population who were victims of criminal offences (%),,,1.2,
2013,Population who were victims of criminal offences (%),,,1.2,
2014,Population who were victims of criminal offences (%),,,1.2,
2015,Population who were victims of criminal offences (%),,,1.2,
2016,Population who were victims of criminal offences (%),,,1.2,
2017,Population who were victims of criminal offences (%),,,1.2,
2018,Population who were victims of criminal offences (%),,,,
2010,Victims of criminal offences (Number),,,932126.0,
2011,Victims of criminal offences (Number),,,964945.0,
2012,Victims of criminal offences (Number),,,976090.0,
2013,Victims of criminal offences (Number),,,955737.0,
2014,Victims of criminal offences (Number),,,947568.0,
2015,Victims of criminal offences (Number),,,946133.0,
2016,Victims of criminal offences (Number),,,1017602.0,
2017,Victims of criminal offences (Number),,,1008510.0,
2018,Victims of criminal offences (Number),,,1025241.0,
2010,,female (Number),,382263.0,
2011,,female (Number),,384661.0,
2012,,female (Number),,391566.0,
2013,,female (Number),,388258.0,
2014,,female (Number),,384786.0,
2015,,female (Number),,381892.0,
2016,,female (Number),,403500.0,
2017,,female (Number),,404035.0,
2018,,female (Number),,414147.0,
2010,,male (Number),,549863.0,
2011,,male (Number),,580284.0,
2012,,male (Number),,584524.0,
2013,,male (Number),,567479.0,
2014,,male (Number),,562782.0,
2015,,male (Number),,564241.0,
2016,,male (Number),,614102.0,
2017,,male (Number),,604475.0,
2018,,male (Number),,611094.0,
2010,,,under 14 years (Number),72232.0,
2011,,,under 14 years (Number),70429.0,
2012,,,under 14 years (Number),67579.0,
2013,,,under 14 years (Number),65334.0,
2014,,,under 14 years (Number),64584.0,
2015,,,under 14 years (Number),62342.0,
2016,,,under 14 years (Number),67519.0,
2017,,,under 14 years (Number),68820.0,
2018,,,under 14 years (Number),70590.0,
2010,,,14 to under 18 years (Number),99135.0,
2011,,,14 to under 18 years (Number),92128.0,
2012,,,14 to under 18 years (Number),88020.0,
2013,,,14 to under 18 years (Number),81633.0,
2014,,,14 to under 18 years (Number),77948.0,
2015,,,14 to under 18 years (Number),74650.0,
2016,,,14 to under 18 years (Number),82930.0,
2017,,,14 to under 18 years (Number),84071.0,
2018,,,14 to under 18 years (Number),84175.0,
2010,,,18 to under 21 years (Number),109139.0,
2011,,,18 to under 21 years (Number),104427.0,
2012,,,18 to under 21 years (Number),99541.0,
2013,,,18 to under 21 years (Number),89880.0,
2014,,,18 to under 21 years (Number),83802.0,
2015,,,18 to under 21 years (Number),80941.0,
2016,,,18 to under 21 years (Number),88459.0,
2017,,,18 to under 21 years (Number),88834.0,
2018,,,18 to under 21 years (Number),89688.0,
2010,,,21 to under 60 years (Number),600019.0,
2011,,,21 to under 60 years (Number),644770.0,
2012,,,21 to under 60 years (Number),666152.0,
2013,,,21 to under 60 years (Number),662202.0,
2014,,,21 to under 60 years (Number),663253.0,
2015,,,21 to under 60 years (Number),668823.0,
2016,,,21 to under 60 years (Number),716502.0,
2017,,,21 to under 60 years (Number),704139.0,
2018,,,21 to under 60 years (Number),715629.0,
2010,,,60 years and over (Number),51601.0,
2011,,,60 years and over (Number),53191.0,
2012,,,60 years and over (Number),54798.0,
2013,,,60 years and over (Number),56688.0,
2014,,,60 years and over (Number),57981.0,
2015,,,60 years and over (Number),59377.0,
2016,,,60 years and over (Number),62192.0,
2017,,,60 years and over (Number),62646.0,
2018,,,60 years and over (Number),65159.0,
