Year,domain,Value
2018,,2
2020,,3
2018,domain 1. migrant rights,3
2020,domain 1. migrant rights,3
2018,domain 2. whole-of-government/evidence-based policies,3
2020,domain 2. whole-of-government/evidence-based policies,3
2018,domain 3. cooperation and partnerships,4
2020,domain 3. cooperation and partnerships,4
2018,domain 4. socioeconomic well-being,3
2020,domain 4. socioeconomic well-being,4
2018,domain 5. mobility dimensions of crises,1
2020,domain 5. mobility dimensions of crises,3
2018,"domain 6. safe, orderly and regular migration",4
2020,"domain 6. safe, orderly and regular migration",4
