Year,Units,country of citizenship,Value
2010,percentage,,0.48
2011,percentage,,0.47
2012,percentage,,0.50
2013,percentage,,0.51
2014,percentage,,0.57
2015,percentage,,0.67
2016,percentage,,1.05
2017,percentage,,1.39
2018,percentage,,1.55
2019,percentage,,1.64
2020,percentage,,1.68
2021,percentage,,1.74
2010,percentage,afghanistan,0.03
2011,percentage,afghanistan,0.03
2012,percentage,afghanistan,0.03
2013,percentage,afghanistan,0.04
2014,percentage,afghanistan,0.04
2015,percentage,afghanistan,0.04
2016,percentage,afghanistan,0.06
2017,percentage,afghanistan,0.13
2018,percentage,afghanistan,0.16
2019,percentage,afghanistan,0.17
2020,percentage,afghanistan,0.18
2021,percentage,afghanistan,0.20
2010,percentage,iraq,0.05
2011,percentage,iraq,0.05
2012,percentage,iraq,0.05
2013,percentage,iraq,0.05
2014,percentage,iraq,0.06
2015,percentage,iraq,0.07
2016,percentage,iraq,0.10
2017,percentage,iraq,0.15
2018,percentage,iraq,0.17
2019,percentage,iraq,0.17
2020,percentage,iraq,0.17
2021,percentage,iraq,0.17
2010,percentage,iran,0.02
2011,percentage,iran,0.02
2012,percentage,iran,0.02
2013,percentage,iran,0.02
2014,percentage,iran,0.03
2015,percentage,iran,0.03
2016,percentage,iran,0.03
2017,percentage,iran,0.05
2018,percentage,iran,0.05
2019,percentage,iran,0.05
2020,percentage,iran,0.05
2021,percentage,iran,0.05
2010,percentage,russian federation,0.05
2011,percentage,russian federation,0.05
2012,percentage,russian federation,0.05
2013,percentage,russian federation,0.04
2014,percentage,russian federation,0.05
2015,percentage,russian federation,0.04
2016,percentage,russian federation,0.04
2017,percentage,russian federation,0.05
2018,percentage,russian federation,0.05
2019,percentage,russian federation,0.05
2020,percentage,russian federation,0.05
2021,percentage,russian federation,0.05
2010,percentage,syria,0.01
2011,percentage,syria,0.01
2012,percentage,syria,0.02
2013,percentage,syria,0.03
2014,percentage,syria,0.07
2015,percentage,syria,0.14
2016,percentage,syria,0.43
2017,percentage,syria,0.57
2018,percentage,syria,0.63
2019,percentage,syria,0.68
2020,percentage,syria,0.70
2021,percentage,syria,0.71
2010,percentage,turkey,0.06
2011,percentage,turkey,0.05
2012,percentage,turkey,0.05
2013,percentage,turkey,0.05
2014,percentage,turkey,0.05
2015,percentage,turkey,0.05
2016,percentage,turkey,0.05
2017,percentage,turkey,0.05
2018,percentage,turkey,0.05
2019,percentage,turkey,0.05
2020,percentage,turkey,0.06
2021,percentage,turkey,0.06
2010,number,,382325
2011,number,,373875
2012,number,,399050
2013,number,,410570
2014,number,,460140
2015,number,,547935
2016,number,,867500
2017,number,,1154365
2018,number,,1283225
2019,number,,1360070
2020,number,,1397685
2021,number,,1451375
2010,number,syria,7814
2011,number,syria,7819
2012,number,syria,15861
2013,number,syria,25363
2014,number,syria,54756
2015,number,syria,117948
2016,number,syria,354719
2017,number,syria,476027
2018,number,syria,525665
2019,number,syria,561525
2020,number,syria,582644
2021,number,syria,592180
2010,number,afghanistan,24000
2011,number,afghanistan,24725
2012,number,afghanistan,26592
2013,number,afghanistan,29634
2014,number,afghanistan,33992
2015,number,afghanistan,36877
2016,number,afghanistan,51077
2017,number,afghanistan,104944
2018,number,afghanistan,130547
2019,number,afghanistan,143873
2020,number,afghanistan,149972
2021,number,afghanistan,167360
2010,number,iraq,42454
2011,number,iraq,41668
2012,number,iraq,43065
2013,number,iraq,44278
2014,number,iraq,45945
2015,number,iraq,55262
2016,number,iraq,83349
2017,number,iraq,127275
2018,number,iraq,137506
2019,number,iraq,140244
2020,number,iraq,141464
2021,number,iraq,145235
2010,number,iran,14960
2011,number,iran,15649
2012,number,iran,17224
2013,number,iran,18762
2014,number,iran,20875
2015,number,iran,21855
2016,number,iran,24544
2017,number,iran,38065
2018,number,iran,42597
2019,number,iran,44107
2020,number,iran,43282
2021,number,iran,45545
2010,number,turkey,44402
2011,number,turkey,42507
2012,number,turkey,42827
2013,number,turkey,41688
2014,number,turkey,40523
2015,number,turkey,39171
2016,number,turkey,38007
2017,number,turkey,38589
2018,number,turkey,41270
2019,number,turkey,45043
2020,number,turkey,48825
2021,number,turkey,51545
2010,number,russian federation,36189
2011,number,russian federation,36556
2012,number,russian federation,36633
2013,number,russian federation,36334
2014,number,russian federation,36599
2015,number,russian federation,36682
2016,number,russian federation,36561
2017,number,russian federation,37365
2018,number,russian federation,38466
2019,number,russian federation,39300
2020,number,russian federation,39344
2021,number,russian federation,40210
