Year,sex,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,,0.03,s,,
2011,,0.03,s,,
2012,,0.03,s,,
2013,,0.03,s,,
2014,,0.03,s,,
2015,,0.03,s,,
2016,,0.03,s,,
2017,,0.03,s,,
2018,,0.03,s,,
2019,,0.03,s,,
2020,,0.02,s,,
2021,,0.02,s,,
2022,,0.02,s,,
2023,,0.03,s,,
2010,female,0.01,s,,
2011,female,0.01,s,,
2012,female,0.01,s,,
2013,female,0.01,s,,
2014,female,0.01,s,,
2015,female,0.01,s,,
2016,female,0.01,s,,
2017,female,0.01,s,,
2018,female,0.01,s,,
2019,female,0.01,s,,
2020,female,0.01,s,,
2021,female,0.01,s,,
2022,female,,.,,
2023,female,0.01,s,,
2010,male,0.06,s,,
2011,male,0.06,s,,
2012,male,0.06,s,,
2013,male,0.06,s,,
2014,male,0.06,s,,
2015,male,0.05,s,,
2016,male,0.05,s,,
2017,male,0.05,s,,
2018,male,0.05,s,,
2019,male,0.05,s,,
2020,male,0.04,s,,
2021,male,0.03,s,,
2022,male,,.,,
2023,male,0.04,s,,
