Year,Units,stages of the food chain,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,"1,000 tonnes",,14.9,,,
2011,"1,000 tonnes",,13.6,,,
2012,"1,000 tonnes",,12.8,,,
2013,"1,000 tonnes",,12.9,,,
2014,"1,000 tonnes",,11.7,,,
2015,"1,000 tonnes",,10.4,,,
2016,"1,000 tonnes",,9.5,,,
2017,"1,000 tonnes",,9.2,,,
2018,"1,000 tonnes",,9.4,,,
2019,"1,000 tonnes",,9.2,,,
2020,"1,000 tonnes",,9.8,,,
2021,"1,000 tonnes",,10.7,,,
2022,"1,000 tonnes",,10.8,,,
2023,"1,000 tonnes",,12.1,,,
2010,"1,000 tonnes",restaurants and food services,4.3,,,
2011,"1,000 tonnes",restaurants and food services,4.1,,,
2012,"1,000 tonnes",restaurants and food services,4.3,,,
2013,"1,000 tonnes",restaurants and food services,4.3,,,
2014,"1,000 tonnes",restaurants and food services,3.8,,,
2015,"1,000 tonnes",restaurants and food services,3.5,,,
2016,"1,000 tonnes",restaurants and food services,3.3,,,
2017,"1,000 tonnes",restaurants and food services,3.3,,,
2018,"1,000 tonnes",restaurants and food services,3.3,,,
2019,"1,000 tonnes",restaurants and food services,3.8,,,
2020,"1,000 tonnes",restaurants and food services,3.6,,,
2021,"1,000 tonnes",restaurants and food services,3.8,,,
2022,"1,000 tonnes",restaurants and food services,4.2,,,
2023,"1,000 tonnes",restaurants and food services,6.5,,,
2010,"1,000 tonnes",private households,5.5,,,
2011,"1,000 tonnes",private households,5.3,,,
2012,"1,000 tonnes",private households,6.4,,,
2013,"1,000 tonnes",private households,5.7,,,
2014,"1,000 tonnes",private households,5.4,,,
2015,"1,000 tonnes",private households,4.6,,,
2016,"1,000 tonnes",private households,4.5,,,
2017,"1,000 tonnes",private households,4.2,,,
2018,"1,000 tonnes",private households,4.7,,,
2019,"1,000 tonnes",private households,4.7,,,
2020,"1,000 tonnes",private households,4.4,,,
2021,"1,000 tonnes",private households,5.1,,,
2022,"1,000 tonnes",private households,5.9,,,
2023,"1,000 tonnes",private households,5.2,,,
2010,"1,000 tonnes",retail and other distribution of food,3.3,,,
2011,"1,000 tonnes",retail and other distribution of food,2.9,,,
2012,"1,000 tonnes",retail and other distribution of food,2.4,,,
2013,"1,000 tonnes",retail and other distribution of food,3.0,,,
2014,"1,000 tonnes",retail and other distribution of food,2.3,,,
2015,"1,000 tonnes",retail and other distribution of food,2.4,,,
2016,"1,000 tonnes",retail and other distribution of food,2.2,,,
2017,"1,000 tonnes",retail and other distribution of food,2.4,,,
2018,"1,000 tonnes",retail and other distribution of food,2.0,,,
2019,"1,000 tonnes",retail and other distribution of food,2.9,,,
2020,"1,000 tonnes",retail and other distribution of food,2.8,,,
2021,"1,000 tonnes",retail and other distribution of food,2.5,,,
2022,"1,000 tonnes",retail and other distribution of food,2.6,,,
2023,"1,000 tonnes",retail and other distribution of food,3.9,,,
2010,kilogram per capita,,39.8,,,
2011,kilogram per capita,,38.3,,,
2012,kilogram per capita,,34.3,,,
2013,kilogram per capita,,35.7,,,
2014,kilogram per capita,,33.0,,,
2015,kilogram per capita,,25.5,,,
2016,kilogram per capita,,25.1,,,
2017,kilogram per capita,,26.1,,,
2018,kilogram per capita,,25.6,,,
2019,kilogram per capita,,26.8,,,
2020,kilogram per capita,,24.8,,,
2021,kilogram per capita,,26.8,,,
2022,kilogram per capita,,27.3,,,
2023,kilogram per capita,,29.9,,,
2010,kilogram per capita,private households,71.8,,,
2011,kilogram per capita,private households,69.7,,,
2012,kilogram per capita,private households,48.2,,,
2013,kilogram per capita,private households,65.1,,,
2014,kilogram per capita,private households,60.2,,,
2015,kilogram per capita,private households,45.9,,,
2016,kilogram per capita,private households,46.0,,,
2017,kilogram per capita,private households,47.2,,,
2018,kilogram per capita,private households,48.2,,,
2019,kilogram per capita,private households,47.6,,,
2020,kilogram per capita,private households,42.5,,,
2021,kilogram per capita,private households,46.2,,,
2022,kilogram per capita,private households,47.0,,,
2023,kilogram per capita,private households,52.3,,,
2010,kilogram per capita,retail and other distribution of food,9.5,,,
2011,kilogram per capita,retail and other distribution of food,8.5,,,
2012,kilogram per capita,retail and other distribution of food,5.1,,,
2013,kilogram per capita,retail and other distribution of food,7.8,,,
2014,kilogram per capita,retail and other distribution of food,7.3,,,
2015,kilogram per capita,retail and other distribution of food,6.1,,,
2016,kilogram per capita,retail and other distribution of food,5.8,,,
2017,kilogram per capita,retail and other distribution of food,6.7,,,
2018,kilogram per capita,retail and other distribution of food,4.6,,,
2019,kilogram per capita,retail and other distribution of food,7.4,,,
2020,kilogram per capita,retail and other distribution of food,8.1,,,
2021,kilogram per capita,retail and other distribution of food,8.5,,,
2022,kilogram per capita,retail and other distribution of food,8.8,,,
2023,kilogram per capita,retail and other distribution of food,8.8,,,
2010,kilogram per capita,restaurants and food services,87.1,,,
2011,kilogram per capita,restaurants and food services,80.7,,,
2012,kilogram per capita,restaurants and food services,78.4,,,
2013,kilogram per capita,restaurants and food services,71.7,,,
2014,kilogram per capita,restaurants and food services,68.0,,,
2015,kilogram per capita,restaurants and food services,56.5,,,
2016,kilogram per capita,restaurants and food services,48.0,,,
2017,kilogram per capita,restaurants and food services,50.6,,,
2018,kilogram per capita,restaurants and food services,55.5,,,
2019,kilogram per capita,restaurants and food services,49.4,,,
2020,kilogram per capita,restaurants and food services,54.7,,,
2021,kilogram per capita,restaurants and food services,56.7,,,
2022,kilogram per capita,restaurants and food services,55.0,,,
2023,kilogram per capita,restaurants and food services,58.1,,,
