Year,timeseries,Value
2010,population using safely managed drinking water services (%),100
2011,population using safely managed drinking water services (%),100
2012,population using safely managed drinking water services (%),100
2013,population using safely managed drinking water services (%),100
2014,population using safely managed drinking water services (%),100
2015,population using safely managed drinking water services (%),100
2016,population using safely managed drinking water services (%),100
2017,population using safely managed drinking water services (%),100
2018,population using safely managed drinking water services (%),100
2010,population connected to the public water supply system (%),99.3
2013,population connected to the public water supply system (%),99.3
2016,population connected to the public water supply system (%),99.4
