Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2011,percentage,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2012,percentage,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2013,percentage,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2014,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,
2015,percentage,marine key biodiversity areas (kbas) covered by protected areas,r,,,5930.000
2016,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,5900.123
2017,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,5687.281
2018,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,5775.046
2019,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,4414.115
2020,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,3996.652
2010,hectare,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2011,hectare,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2012,hectare,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2013,hectare,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2014,hectare,marine key biodiversity areas (kbas) covered by protected areas,.,,,
2015,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,4679.637
2016,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,4451.453
2017,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,4486.550
2018,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,4666.090
2019,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,4414.115
2020,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,3996.652
2010,hectare,marine areas covered by protected areas,.,,,
2011,hectare,marine areas covered by protected areas,.,,,
2012,hectare,marine areas covered by protected areas,.,,,
2013,hectare,marine areas covered by protected areas,.,,,
2014,hectare,marine areas covered by protected areas,.,,,
2015,hectare,marine areas covered by protected areas,r,,,1250.000
2016,hectare,marine areas covered by protected areas,,,,1448.670
2017,hectare,marine areas covered by protected areas,,,,1200.731
2018,hectare,marine areas covered by protected areas,,,,1108.956
2019,hectare,marine areas covered by protected areas,-,,,0.000
2020,hectare,marine areas covered by protected areas,-,,,0.000
2010,percentage,marine areas covered by protected areas,.,,,
2011,percentage,marine areas covered by protected areas,.,,,
2012,percentage,marine areas covered by protected areas,.,,,
2013,percentage,marine areas covered by protected areas,.,,,
2014,percentage,marine areas covered by protected areas,.,,,
2015,percentage,marine areas covered by protected areas,r,,,0.196
2016,percentage,marine areas covered by protected areas,,,,0.188
2017,percentage,marine areas covered by protected areas,,,,0.174
2018,percentage,marine areas covered by protected areas,,,,0.172
2019,percentage,marine areas covered by protected areas,,,,0.127
2020,percentage,marine areas covered by protected areas,,,,0.117
2010,hectare,marine areas covered by effective protected areas,.,,,
2011,hectare,marine areas covered by effective protected areas,.,,,
2012,hectare,marine areas covered by effective protected areas,.,,,
2013,hectare,marine areas covered by effective protected areas,.,,,
2014,hectare,marine areas covered by effective protected areas,.,,,
2015,hectare,marine areas covered by effective protected areas,,,,0.155
2016,hectare,marine areas covered by effective protected areas,,,,0.142
2017,hectare,marine areas covered by effective protected areas,,,,0.137
2018,hectare,marine areas covered by effective protected areas,,,,0.139
2019,hectare,marine areas covered by effective protected areas,,,,0.127
2020,hectare,marine areas covered by effective protected areas,,,,0.117
2010,percentage,marine areas covered by effective protected areas,.,,,
2011,percentage,marine areas covered by effective protected areas,.,,,
2012,percentage,marine areas covered by effective protected areas,.,,,
2013,percentage,marine areas covered by effective protected areas,.,,,
2014,percentage,marine areas covered by effective protected areas,.,,,
2015,percentage,marine areas covered by effective protected areas,r,,,0.041
2016,percentage,marine areas covered by effective protected areas,,,,0.046
2017,percentage,marine areas covered by effective protected areas,,,,0.037
2018,percentage,marine areas covered by effective protected areas,,,,0.033
2019,percentage,marine areas covered by effective protected areas,-,,,0.000
2020,percentage,marine areas covered by effective protected areas,-,,,0.000
