Year,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,protection of biodiversity and landscape (cofog 5.4),,,,13.5020680000000
2011,protection of biodiversity and landscape (cofog 5.4),,,,15.0233570000000
2012,protection of biodiversity and landscape (cofog 5.4),,,,15.3138020000000
2013,protection of biodiversity and landscape (cofog 5.4),,,,15.9345230000000
2014,protection of biodiversity and landscape (cofog 5.4),,,,17.4348050000000
2015,protection of biodiversity and landscape (cofog 5.4),,,,17.6898680000000
2016,protection of biodiversity and landscape (cofog 5.4),,,,18.2124670000000
2017,protection of biodiversity and landscape (cofog 5.4),,,,19.5519150000000
2018,protection of biodiversity and landscape (cofog 5.4),,,,19.4992510000000
2019,protection of biodiversity and landscape (cofog 5.4),,,,21.1184510000000
2020,protection of biodiversity and landscape (cofog 5.4),,,,20.8825460000000
2021,protection of biodiversity and landscape (cofog 5.4),,,,22.2330630000000
2022,protection of biodiversity and landscape (cofog 5.4),p,,,23.2160820000000
2023,protection of biodiversity and landscape (cofog 5.4),p,,,28.7079620000000
2024,protection of biodiversity and landscape (cofog 5.4),p,,,30.0777090000000
2025,protection of biodiversity and landscape (cofog 5.4),p,,,30.8421256838412
2010,cultural services (cofog 8.2),,,,122.116486000000
2011,cultural services (cofog 8.2),,,,129.891000000000
2012,cultural services (cofog 8.2),,,,129.588854000000
2013,cultural services (cofog 8.2),,,,134.605114000000
2014,cultural services (cofog 8.2),,,,141.880681000000
2015,cultural services (cofog 8.2),,,,142.354879000000
2016,cultural services (cofog 8.2),,,,144.404949000000
2017,cultural services (cofog 8.2),,,,151.234794000000
2018,cultural services (cofog 8.2),,,,155.689716000000
2019,cultural services (cofog 8.2),,,,166.514604000000
2020,cultural services (cofog 8.2),,,,172.137934000000
2021,cultural services (cofog 8.2),,,,167.290688000000
2022,cultural services (cofog 8.2),p,,,182.747883000000
2023,cultural services (cofog 8.2),p,,,194.243362968553
2024,cultural services (cofog 8.2),p,,,216.446951000000
2025,cultural services (cofog 8.2),p,,,219.474769375192
