Year,Units,type of waste treatment,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,kilogram per capita,,7.8,,,,a) hazardous waste generated per capita
2011,kilogram per capita,,7.0,,,,a) hazardous waste generated per capita
2012,kilogram per capita,,6.9,,,,a) hazardous waste generated per capita
2013,kilogram per capita,,6.6,,,,a) hazardous waste generated per capita
2014,kilogram per capita,,6.4,,,,a) hazardous waste generated per capita
2015,kilogram per capita,,5.7,,,,a) hazardous waste generated per capita
2016,kilogram per capita,,5.6,,,,a) hazardous waste generated per capita
2017,kilogram per capita,,5.2,,,,a) hazardous waste generated per capita
2018,kilogram per capita,,5.4,,,,a) hazardous waste generated per capita
2019,kilogram per capita,,5.4,,,,a) hazardous waste generated per capita
2020,kilogram per capita,,5.4,,,,a) hazardous waste generated per capita
2021,kilogram per capita,,5.9,,,,a) hazardous waste generated per capita
2022,kilogram per capita,,6.4,,,,a) hazardous waste generated per capita
2023,kilogram per capita,,7.1,,,,a) hazardous waste generated per capita
2010,percentage,,8.2,,,,b) hazardous waste treated
2011,percentage,,7.3,,,,b) hazardous waste treated
2012,percentage,,7.5,,,,b) hazardous waste treated
2013,percentage,,7.5,,,,b) hazardous waste treated
2014,percentage,,7.3,,,,b) hazardous waste treated
2015,percentage,,6.7,,,,b) hazardous waste treated
2016,percentage,,6.3,,,,b) hazardous waste treated
2017,percentage,,6.3,,,,b) hazardous waste treated
2018,percentage,,6.2,,,,b) hazardous waste treated
2019,percentage,,6.5,,,,b) hazardous waste treated
2020,percentage,,6.5,,,,b) hazardous waste treated
2021,percentage,,6.9,,,,b) hazardous waste treated
2022,percentage,,7.7,,,,b) hazardous waste treated
2023,percentage,,8.4,,,,b) hazardous waste treated
2010,percentage,energy recovery,7.2,,,,b) hazardous waste treated
2011,percentage,energy recovery,6.5,,,,b) hazardous waste treated
2012,percentage,energy recovery,6.1,,,,b) hazardous waste treated
2013,percentage,energy recovery,5.6,,,,b) hazardous waste treated
2014,percentage,energy recovery,5.3,,,,b) hazardous waste treated
2015,percentage,energy recovery,4.5,,,,b) hazardous waste treated
2016,percentage,energy recovery,4.6,,,,b) hazardous waste treated
2017,percentage,energy recovery,3.8,,,,b) hazardous waste treated
2018,percentage,energy recovery,4.4,,,,b) hazardous waste treated
2019,percentage,energy recovery,4.4,,,,b) hazardous waste treated
2020,percentage,energy recovery,4.1,,,,b) hazardous waste treated
2021,percentage,energy recovery,4.7,,,,b) hazardous waste treated
2022,percentage,energy recovery,4.8,,,,b) hazardous waste treated
2023,percentage,energy recovery,5.4,,,,b) hazardous waste treated
2010,percentage,incineration,,.,,,b) hazardous waste treated
2011,percentage,incineration,,.,,,b) hazardous waste treated
2012,percentage,incineration,10.1,,,,b) hazardous waste treated
2013,percentage,incineration,10.1,,,,b) hazardous waste treated
2014,percentage,incineration,10.3,,,,b) hazardous waste treated
2015,percentage,incineration,10.2,,,,b) hazardous waste treated
2016,percentage,incineration,10.5,,,,b) hazardous waste treated
2017,percentage,incineration,10.1,,,,b) hazardous waste treated
2018,percentage,incineration,10.6,,,,b) hazardous waste treated
2019,percentage,incineration,9.7,,,,b) hazardous waste treated
2020,percentage,incineration,11.2,,,,b) hazardous waste treated
2021,percentage,incineration,10.9,|,,,b) hazardous waste treated
2022,percentage,incineration,11.6,,,,b) hazardous waste treated
2023,percentage,incineration,12.1,,,,b) hazardous waste treated
2010,percentage,recovery other than energy recovery,,.,,,b) hazardous waste treated
2011,percentage,recovery other than energy recovery,,.,,,b) hazardous waste treated
2012,percentage,recovery other than energy recovery,17.8,,,,b) hazardous waste treated
2013,percentage,recovery other than energy recovery,17.7,,,,b) hazardous waste treated
2014,percentage,recovery other than energy recovery,17.9,,,,b) hazardous waste treated
2015,percentage,recovery other than energy recovery,17.6,,,,b) hazardous waste treated
2016,percentage,recovery other than energy recovery,18.1,,,,b) hazardous waste treated
2017,percentage,recovery other than energy recovery,17.4,,,,b) hazardous waste treated
2018,percentage,recovery other than energy recovery,18.2,,,,b) hazardous waste treated
2019,percentage,recovery other than energy recovery,16.3,,,,b) hazardous waste treated
2020,percentage,recovery other than energy recovery,18.9,,,,b) hazardous waste treated
2021,percentage,recovery other than energy recovery,18.2,|,,,b) hazardous waste treated
2022,percentage,recovery other than energy recovery,19.3,,,,b) hazardous waste treated
2023,percentage,recovery other than energy recovery,19.7,,,,b) hazardous waste treated
2010,percentage,deposit onto or into land and land treatment and release into water bodies,,.,,,b) hazardous waste treated
2011,percentage,deposit onto or into land and land treatment and release into water bodies,,.,,,b) hazardous waste treated
2012,percentage,deposit onto or into land and land treatment and release into water bodies,2.3,,,,b) hazardous waste treated
2013,percentage,deposit onto or into land and land treatment and release into water bodies,2.3,,,,b) hazardous waste treated
2014,percentage,deposit onto or into land and land treatment and release into water bodies,2.5,,,,b) hazardous waste treated
2015,percentage,deposit onto or into land and land treatment and release into water bodies,2.4,,,,b) hazardous waste treated
2016,percentage,deposit onto or into land and land treatment and release into water bodies,2.7,,,,b) hazardous waste treated
2017,percentage,deposit onto or into land and land treatment and release into water bodies,2.6,,,,b) hazardous waste treated
2018,percentage,deposit onto or into land and land treatment and release into water bodies,2.9,,,,b) hazardous waste treated
2019,percentage,deposit onto or into land and land treatment and release into water bodies,2.9,,,,b) hazardous waste treated
2020,percentage,deposit onto or into land and land treatment and release into water bodies,3.3,,,,b) hazardous waste treated
2021,percentage,deposit onto or into land and land treatment and release into water bodies,3.3,|,,,b) hazardous waste treated
2022,percentage,deposit onto or into land and land treatment and release into water bodies,3.6,,,,b) hazardous waste treated
2023,percentage,deposit onto or into land and land treatment and release into water bodies,4.1,,,,b) hazardous waste treated
