Year,Units,Funding sector,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Biodiversity,Commitments,,,,440.9
2011,Million EUR,Biodiversity,Commitments,,,,877.7
2012,Million EUR,Biodiversity,Commitments,,,,755.3
2013,Million EUR,Biodiversity,Commitments,,,,754.0
2014,Million EUR,Biodiversity,Commitments,,,,926.2
2015,Million EUR,Biodiversity,Commitments,,,,1050.8
2016,Million EUR,Biodiversity,Commitments,,,,1004.9
2017,Million EUR,Biodiversity,Commitments,,,,1602.2
2018,Million EUR,Biodiversity,Commitments,,,,1350.6
2019,Million EUR,Biodiversity,Commitments,,,,1990.5
2020,Million EUR,Biodiversity,Commitments,,,,2084.9
2021,Million EUR,Biodiversity,Commitments,,,,2107.5
2022,Million EUR,Biodiversity,Commitments,,,,2850.2
2023,Million EUR,Biodiversity,Commitments,,,,2161.0
2024,Million EUR,Biodiversity,Commitments,,,,2394.7
2010,Million EUR,Forestry sector,Commitments,,,,65.575
2011,Million EUR,Forestry sector,Commitments,,,,118.745
2012,Million EUR,Forestry sector,Commitments,,,,83.549
2013,Million EUR,Forestry sector,Commitments,,,,51.584
2014,Million EUR,Forestry sector,Commitments,,,,107.353
2015,Million EUR,Forestry sector,Commitments,,,,83.089
2016,Million EUR,Forestry sector,Commitments,,,,52.681
2017,Million EUR,Forestry sector,Commitments,,,,109.101
2018,Million EUR,Forestry sector,Commitments,,,,61.652
2019,Million EUR,Forestry sector,Commitments,,,,390.944
2020,Million EUR,Forestry sector,Commitments,,,,222.724
2021,Million EUR,Forestry sector,Commitments,,,,159.939
2022,Million EUR,Forestry sector,Commitments,,,,212.589
2023,Million EUR,Forestry sector,Commitments,,,,239.394
2024,Million EUR,Forestry sector,Commitments,,,,184.423
2010,Million EUR,Biodiversity,Gross disbursements,,,,318.6
2011,Million EUR,Biodiversity,Gross disbursements,,,,440.7
2012,Million EUR,Biodiversity,Gross disbursements,,,,601.6
2013,Million EUR,Biodiversity,Gross disbursements,,,,616.5
2014,Million EUR,Biodiversity,Gross disbursements,,,,702.4
2015,Million EUR,Biodiversity,Gross disbursements,,,,687.2
2016,Million EUR,Biodiversity,Gross disbursements,,,,935.1
2017,Million EUR,Biodiversity,Gross disbursements,,,,1321.5
2018,Million EUR,Biodiversity,Gross disbursements,,,,1216.5
2019,Million EUR,Biodiversity,Gross disbursements,,,,1449.9
2020,Million EUR,Biodiversity,Gross disbursements,,,,1787.8
2021,Million EUR,Biodiversity,Gross disbursements,,,,2107.5
2022,Million EUR,Biodiversity,Gross disbursements,,,,2850.2
2023,Million EUR,Biodiversity,Gross disbursements,,,,
2024,Million EUR,Biodiversity,Gross disbursements,,,,
2010,Million EUR,Forestry sector,Gross disbursements,,,,48.6
2011,Million EUR,Forestry sector,Gross disbursements,,,,46.0
2012,Million EUR,Forestry sector,Gross disbursements,,,,77.0
2013,Million EUR,Forestry sector,Gross disbursements,,,,71.9
2014,Million EUR,Forestry sector,Gross disbursements,,,,61.3
2015,Million EUR,Forestry sector,Gross disbursements,,,,62.5
2016,Million EUR,Forestry sector,Gross disbursements,,,,60.1
2017,Million EUR,Forestry sector,Gross disbursements,,,,69.0
2018,Million EUR,Forestry sector,Gross disbursements,,,,104.9
2019,Million EUR,Forestry sector,Gross disbursements,,,,107.7
2020,Million EUR,Forestry sector,Gross disbursements,,,,195.4
2021,Million EUR,Forestry sector,Gross disbursements,,,,241.3
2022,Million EUR,Forestry sector,Gross disbursements,,,,238.6
2023,Million EUR,Forestry sector,Gross disbursements,,,,251.1
2024,Million EUR,Forestry sector,Gross disbursements,,,,210.5
2010,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,676.3
2011,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1330.0
2012,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1128.3
2013,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1104.3
2014,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1331.3
2015,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1484.6
2016,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1402.0
2017,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2203.0
2018,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,1823.0
2019,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2633.6
2020,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2711.0
2021,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2668.6
2022,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,3391.2
2023,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2409.8
2024,"Million USD, constant prices (2024)",Biodiversity,Commitments,,,,2590.0
2010,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,100.596
2011,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,179.946
2012,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,124.82
2013,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,75.557
2014,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,154.315
2015,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,117.391
2016,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,73.502
2017,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,150.013
2018,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,83.214
2019,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,517.253
2020,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,289.608
2021,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,202.519
2022,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,252.944
2023,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,266.963
