Year,Meer,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,47.6
2022,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,58.0
2010,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2011,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2012,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2013,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2014,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2015,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2016,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2017,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2018,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2019,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,10.0
2020,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,9.0
2021,Nordsee,r,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,9.0
2022,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,2.0
2010,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2011,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2012,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2013,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2014,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2015,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2016,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2017,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2018,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2019,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,3.0
2020,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,2.0
2021,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,2.0
2022,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,2.0
2010,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2011,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,0.0
2012,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,0.0
2013,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,0.0
2014,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,0.0
2015,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2016,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2017,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2018,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2019,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2020,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2021,,r,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,7.0
2022,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,0.0
