Year,Economic activity,Value
2010,,100.0
2011,,104.1
2012,,102.0
2013,,106.3
2014,,94.8
2015,,112.2
2016,,105.4
2017,,104.5
2018,,120.4
2019,,96.7
2010,"Agriculture, forestry and fishing",100.0
2011,"Agriculture, forestry and fishing",123.8
2012,"Agriculture, forestry and fishing",106.1
2013,"Agriculture, forestry and fishing",105.9
2014,"Agriculture, forestry and fishing",106.8
2015,"Agriculture, forestry and fishing",90.0
2016,"Agriculture, forestry and fishing",107.9
2017,"Agriculture, forestry and fishing",103.4
2018,"Agriculture, forestry and fishing",79.8
2019,"Agriculture, forestry and fishing",85.5
2010,MIMEC,100.0
2011,MIMEC,112.6
2012,MIMEC,111.5
2013,MIMEC,108.4
2014,MIMEC,102.2
2015,MIMEC,109.2
2016,MIMEC,108.3
2017,MIMEC,116.1
2018,MIMEC,108.6
2019,MIMEC,108.9
2010,Services,100.0
2011,Services,106.7
2012,Services,102.9
2013,Services,101.6
2014,Services,105.9
2015,Services,105.5
2016,Services,103.9
2017,Services,107.5
2018,Services,104.4
2019,Services,105.3
