Year,Units,Art der Biomasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,51.2
2011,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,49.0
2012,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,50.8
2013,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,53.4
2014,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,52.6
2015,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,51.5
2016,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,51.8
2017,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,53.5
2018,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,53.0
2019,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,49.4
2020,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,45.2
2021,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,49.3
2010,Prozent,,r,,,Waldfläche in Schutzgebieten,37.0
2011,Prozent,,r,,,Waldfläche in Schutzgebieten,36.7
2012,Prozent,,r,,,Waldfläche in Schutzgebieten,37.1
2013,Prozent,,r,,,Waldfläche in Schutzgebieten,36.5
2014,Prozent,,r,,,Waldfläche in Schutzgebieten,34.6
2015,Prozent,,r,,,Waldfläche in Schutzgebieten,33.8
2016,Prozent,,r,,,Waldfläche in Schutzgebieten,32.8
2017,Prozent,,r,,,Waldfläche in Schutzgebieten,33.0
2018,Prozent,,r,,,Waldfläche in Schutzgebieten,34.3
2019,Prozent,,r,,,Waldfläche in Schutzgebieten,31.0
2020,Prozent,,,,,Waldfläche in Schutzgebieten,29.1
2021,Prozent,,,,,Waldfläche in Schutzgebieten,30.8
2010,Prozent,,,,,Jährliche Veränderung der Waldfläche,27.5
2011,Prozent,,,,,Jährliche Veränderung der Waldfläche,25.9
2012,Prozent,,r,,,Jährliche Veränderung der Waldfläche,27.3
2013,Prozent,,,,,Jährliche Veränderung der Waldfläche,27.6
2014,Prozent,,,,,Jährliche Veränderung der Waldfläche,26.4
2015,Prozent,,,,,Jährliche Veränderung der Waldfläche,26.1
2016,Prozent,,,,,Jährliche Veränderung der Waldfläche,26.0
2017,Prozent,,,,,Jährliche Veränderung der Waldfläche,26.0
2018,Prozent,,r,,,Jährliche Veränderung der Waldfläche,25.6
2019,Prozent,,r,,,Jährliche Veränderung der Waldfläche,24.0
2020,Prozent,,,,,Jährliche Veränderung der Waldfläche,23.6
2021,Prozent,,,,,Jährliche Veränderung der Waldfläche,23.5
2010,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.9
2011,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.2
2012,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.5
2013,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.6
2014,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.0
2015,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.0
2016,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.3
2017,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.4
2018,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.4
2019,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,13.2
2010,Millionen Tonnen Kohlenstoff,Stehendes Holz,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2011,Millionen Tonnen Kohlenstoff,Stehendes Holz,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2012,Millionen Tonnen Kohlenstoff,Stehendes Holz,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2013,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,3.42
2014,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,5.13
2015,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,7.41
2016,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,8.53
2017,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,6.73
2018,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,6.61
2019,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,6.81
2020,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,7.64
2021,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,7.93
2022,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,9.96
2023,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,9.94
2010,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2011,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2012,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,.,,,Gesamtbestand der obererdigen Biomasse in Wäldern,
2013,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,113.0
2014,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,112.2
2015,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,83.25
2016,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,60.5
2017,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,63.0
2018,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,62.0
2019,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,57.0
2020,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,55.5
2021,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,43.5
2022,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,57.5
2023,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,45.5
2010,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,61.6
2011,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,61.4
2012,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,56.6
2013,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,56.4
2014,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,59.5
2015,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,59.0
2016,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,59.1
2017,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,58.9
