Year,Completeness of disaggregation,goal,COMMENT_OBS,Value
2023,Fully disaggregated,,.,
2024,Fully disaggregated,,,23.0
2025,Fully disaggregated,,,
2023,Partially disaggregated,,.,
2024,Partially disaggregated,,,23.0
2025,Partially disaggregated,,,
2023,Not disaggregated,,.,
2024,Not disaggregated,,,54.0
2025,Not disaggregated,,,
2023,Fully disaggregated,1 - no poverty,.,
2024,Fully disaggregated,1 - no poverty,0,0.0
2025,Fully disaggregated,1 - no poverty,,
2023,Partially disaggregated,1 - no poverty,.,
2024,Partially disaggregated,1 - no poverty,,25.0
2025,Partially disaggregated,1 - no poverty,,
2023,Not disaggregated,1 - no poverty,.,
2024,Not disaggregated,1 - no poverty,,75.0
2025,Not disaggregated,1 - no poverty,,
2023,Fully disaggregated,2 - zero hunger,.,
2024,Fully disaggregated,2 - zero hunger,,25.0
2025,Fully disaggregated,2 - zero hunger,,
2023,Partially disaggregated,2 - zero hunger,.,
2024,Partially disaggregated,2 - zero hunger,0,0.0
2025,Partially disaggregated,2 - zero hunger,,
2023,Not disaggregated,2 - zero hunger,.,
2024,Not disaggregated,2 - zero hunger,,75.0
2025,Not disaggregated,2 - zero hunger,,
2023,Fully disaggregated,3 - good health and well-being,.,
2024,Fully disaggregated,3 - good health and well-being,0,0.0
2025,Fully disaggregated,3 - good health and well-being,,
2023,Partially disaggregated,3 - good health and well-being,.,
2024,Partially disaggregated,3 - good health and well-being,,100.0
2025,Partially disaggregated,3 - good health and well-being,,
2023,Not disaggregated,3 - good health and well-being,.,
2024,Not disaggregated,3 - good health and well-being,0,0.0
2025,Not disaggregated,3 - good health and well-being,,
2023,Fully disaggregated,4 - quality education,.,
2024,Fully disaggregated,4 - quality education,,33.0
2025,Fully disaggregated,4 - quality education,,
2023,Partially disaggregated,4 - quality education,.,
2024,Partially disaggregated,4 - quality education,0,0.0
2025,Partially disaggregated,4 - quality education,,
2023,Not disaggregated,4 - quality education,.,
2024,Not disaggregated,4 - quality education,,67.0
2025,Not disaggregated,4 - quality education,,
2023,Fully disaggregated,5 - gender equality,.,
2024,Fully disaggregated,5 - gender equality,0,0.0
2025,Fully disaggregated,5 - gender equality,,
2023,Partially disaggregated,5 - gender equality,.,
2024,Partially disaggregated,5 - gender equality,,17.0
2025,Partially disaggregated,5 - gender equality,,
2023,Not disaggregated,5 - gender equality,.,
2024,Not disaggregated,5 - gender equality,,83.0
2025,Not disaggregated,5 - gender equality,,
2023,Fully disaggregated,8 - decent work and economic growth,.,
2024,Fully disaggregated,8 - decent work and economic growth,,17.0
2025,Fully disaggregated,8 - decent work and economic growth,,
2023,Partially disaggregated,8 - decent work and economic growth,.,
2024,Partially disaggregated,8 - decent work and economic growth,,50.0
2025,Partially disaggregated,8 - decent work and economic growth,,
2023,Not disaggregated,8 - decent work and economic growth,.,
2024,Not disaggregated,8 - decent work and economic growth,,33.0
2025,Not disaggregated,8 - decent work and economic growth,,
2023,Fully disaggregated,"9 - industry, innovation and infrastructure",.,
2024,Fully disaggregated,"9 - industry, innovation and infrastructure",,100.0
2025,Fully disaggregated,"9 - industry, innovation and infrastructure",,
2023,Partially disaggregated,"9 - industry, innovation and infrastructure",.,
2024,Partially disaggregated,"9 - industry, innovation and infrastructure",0,0.0
2025,Partially disaggregated,"9 - industry, innovation and infrastructure",,
2023,Not disaggregated,"9 - industry, innovation and infrastructure",.,
2024,Not disaggregated,"9 - industry, innovation and infrastructure",0,0.0
2025,Not disaggregated,"9 - industry, innovation and infrastructure",,
