Year,Art der Finanzströme,Value
2010,,41743.4
2011,,53099.7
2012,,34961.6
2013,,50768.3
2014,,49768.3
2015,,52593.9
2016,,53863.4
2017,,57114.6
2018,,51983.4
2019,,43647.5
2010,Öffentliche Nettoentwicklungsausgaben (ODA),13018.7
2011,Öffentliche Nettoentwicklungsausgaben (ODA),13314.9
2012,Öffentliche Nettoentwicklungsausgaben (ODA),13030.7
2013,Öffentliche Nettoentwicklungsausgaben (ODA),13604.5
2014,Öffentliche Nettoentwicklungsausgaben (ODA),15559.6
2015,Öffentliche Nettoentwicklungsausgaben (ODA),19811.2
2016,Öffentliche Nettoentwicklungsausgaben (ODA),27081.0
2017,Öffentliche Nettoentwicklungsausgaben (ODA),26576.1
2018,Öffentliche Nettoentwicklungsausgaben (ODA),25670.38
2019,Öffentliche Nettoentwicklungsausgaben (ODA),24953.9
2010,Sonstige öffentliche Nettoausgaben (OOF),68.3
2011,Sonstige öffentliche Nettoausgaben (OOF),-136.2
2012,Sonstige öffentliche Nettoausgaben (OOF),-91.7
2013,Sonstige öffentliche Nettoausgaben (OOF),-81.3
2014,Sonstige öffentliche Nettoausgaben (OOF),143.9
2015,Sonstige öffentliche Nettoausgaben (OOF),1462.8
2016,Sonstige öffentliche Nettoausgaben (OOF),-501.5
2017,Sonstige öffentliche Nettoausgaben (OOF),-379.0
2018,Sonstige öffentliche Nettoausgaben (OOF),-117.5
2019,Sonstige öffentliche Nettoausgaben (OOF),14.2
2010,Öffentlich unterstützte Exportkredite (Nettoausgaben),3716.7
2011,Öffentlich unterstützte Exportkredite (Nettoausgaben),9711.1
2012,Öffentlich unterstützte Exportkredite (Nettoausgaben),6316.3
2013,Öffentlich unterstützte Exportkredite (Nettoausgaben),5183.2
2014,Öffentlich unterstützte Exportkredite (Nettoausgaben),-150.8
2015,Öffentlich unterstützte Exportkredite (Nettoausgaben),2060.8
2016,Öffentlich unterstützte Exportkredite (Nettoausgaben),3776.6
2017,Öffentlich unterstützte Exportkredite (Nettoausgaben),6.7
2018,Öffentlich unterstützte Exportkredite (Nettoausgaben),1388.4
2019,Öffentlich unterstützte Exportkredite (Nettoausgaben),-2014.9
2010,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),23472.1
2011,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),28700.3
2012,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),14297.3
2013,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),30708.4
2014,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),32798.7
2015,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),27734.0
2016,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),21948.7
2017,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),29327.2
2018,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),23679.1
2019,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),19113.9
2010,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1467.6
2011,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1509.5
2012,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1408.9
2013,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1353.5
2014,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1431.2
2015,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1525.0
2016,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1558.6
2017,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1583.6
2018,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1363.0
2019,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),1580.4
