Year,Value,Series
2010,12171366.24,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2011,12259124.467,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2012,12357497.507,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2013,12458418.937,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2014,12534161.681,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2015,12586428.78,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2016,12828449.534,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2017,12915156.22,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2018,13079997.866,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2019,13362069.354,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2020,13362069.354,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2021,13362069.354,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2022,13410677.803,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2023,13410677.803,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2024,13410677.8,(a) Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2010,34.042,(b) Implementation of the principles of biodiversity in the SEEA
2011,34.287,(b) Implementation of the principles of biodiversity in the SEEA
2012,34.562,(b) Implementation of the principles of biodiversity in the SEEA
2013,34.844,(b) Implementation of the principles of biodiversity in the SEEA
2014,35.056,(b) Implementation of the principles of biodiversity in the SEEA
2015,35.203,(b) Implementation of the principles of biodiversity in the SEEA
2016,35.879,(b) Implementation of the principles of biodiversity in the SEEA
2017,36.122,(b) Implementation of the principles of biodiversity in the SEEA
2018,36.583,(b) Implementation of the principles of biodiversity in the SEEA
2019,37.372,(b) Implementation of the principles of biodiversity in the SEEA
2020,37.372,(b) Implementation of the principles of biodiversity in the SEEA
2021,37.372,(b) Implementation of the principles of biodiversity in the SEEA
2022,37.508,(b) Implementation of the principles of biodiversity in the SEEA
2023,37.508,(b) Implementation of the principles of biodiversity in the SEEA
2024,37.508,(b) Implementation of the principles of biodiversity in the SEEA
