Year,Value,Units,Series
2012,10.1,Kilogram per capita,a) Hazardous waste generated per capita
2013,10.1,Kilogram per capita,a) Hazardous waste generated per capita
2014,10.3,Kilogram per capita,a) Hazardous waste generated per capita
2015,10.2,Kilogram per capita,a) Hazardous waste generated per capita
2016,10.5,Kilogram per capita,a) Hazardous waste generated per capita
2017,10.1,Kilogram per capita,a) Hazardous waste generated per capita
2018,10.6,Kilogram per capita,a) Hazardous waste generated per capita
2019,9.7,Kilogram per capita,a) Hazardous waste generated per capita
2020,11.2,Kilogram per capita,a) Hazardous waste generated per capita
2022,11.6,Kilogram per capita,a) Hazardous waste generated per capita
2023,12.1,Kilogram per capita,a) Hazardous waste generated per capita
2012,17.8,Percentage,b) Hazardous waste treated
2013,17.7,Percentage,b) Hazardous waste treated
2014,17.9,Percentage,b) Hazardous waste treated
2015,17.6,Percentage,b) Hazardous waste treated
2016,18.1,Percentage,b) Hazardous waste treated
2017,17.4,Percentage,b) Hazardous waste treated
2018,18.2,Percentage,b) Hazardous waste treated
2019,16.3,Percentage,b) Hazardous waste treated
2020,18.9,Percentage,b) Hazardous waste treated
2022,19.3,Percentage,b) Hazardous waste treated
2023,19.7,Percentage,b) Hazardous waste treated
