Year,Value,Units,Series
2022,27104,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2023,19535,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2010,466082,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2011,435290,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2012,375632,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2013,378623,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2014,362514,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2015,332666,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2016,315346,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2017,301737,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2018,324648,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2019,239209,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2020,212531,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2021,232863,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
