Year,Value,Units,Series
2015,4.65,Percentage,Population who had the impression that public officials are corruptible
2017,3.66,Percentage,Population who had the impression that public officials are corruptible
2019,4.67,Percentage,Population who had the impression that public officials are corruptible
2021,3.86,Percentage,Population who had the impression that public officials are corruptible
2023,11.56,Percentage,Population who had the impression that public officials are corruptible
2011,295.0,Number,
2012,163.0,Number,
2013,222.0,Number,
2014,121.0,Number,
2015,148.0,Number,
