Year,Value,Series
Inpatient treatment of substance use disorders,37107.0,Drugs
Inpatient treatment of substance use disorders,36848.0,Drugs
Inpatient treatment of substance use disorders,36166.0,Drugs
Inpatient treatment of substance use disorders,40556.0,Drugs
Inpatient treatment of substance use disorders,49795.0,Drugs
Inpatient treatment of substance use disorders,51919.0,Drugs
Inpatient treatment of substance use disorders,52621.0,Drugs
Inpatient treatment of substance use disorders,51806.0,Drugs
Inpatient treatment of substance use disorders,52380.0,Drugs
Inpatient treatment of substance use disorders,53490.0,Drugs
