Year,education level,sex,COMMENT_OBS_0,Value
2010,lower secondary school completed,,,93.9
2011,lower secondary school completed,,,92.8
2012,lower secondary school completed,,,93.1
2013,lower secondary school completed,,,93.5
2014,lower secondary school completed,,,93.8
2015,lower secondary school completed,,,93.5
2016,lower secondary school completed,,.,
2017,lower secondary school completed,,.,
2018,lower secondary school completed,,,92.8
2019,lower secondary school completed,,,92.9
2020,lower secondary school completed,,|,93.0
2021,lower secondary school completed,,,91.6
2022,lower secondary school completed,,,90.8
2023,lower secondary school completed,,p,91.3
2010,lower secondary school completed,female,,94.6
2011,lower secondary school completed,female,,93.5
2012,lower secondary school completed,female,,93.8
2013,lower secondary school completed,female,,93.9
2014,lower secondary school completed,female,,94.2
2015,lower secondary school completed,female,,94.2
2016,lower secondary school completed,female,.,
2017,lower secondary school completed,female,.,
2018,lower secondary school completed,female,,93.7
2019,lower secondary school completed,female,,93.8
2020,lower secondary school completed,female,|,94.6
2021,lower secondary school completed,female,,92.8
2022,lower secondary school completed,female,,91.8
2023,lower secondary school completed,female,p,92.6
2010,lower secondary school completed,male,,93.3
2011,lower secondary school completed,male,,92.2
2012,lower secondary school completed,male,,92.5
2013,lower secondary school completed,male,,93.0
2014,lower secondary school completed,male,,93.4
2015,lower secondary school completed,male,,92.9
2016,lower secondary school completed,male,.,
2017,lower secondary school completed,male,.,
2018,lower secondary school completed,male,,92.1
2019,lower secondary school completed,male,,92.1
2020,lower secondary school completed,male,|,91.6
2021,lower secondary school completed,male,,90.6
2022,lower secondary school completed,male,,89.9
2023,lower secondary school completed,male,p,90.0
2010,upper secondary school completed,,,77.2
2011,upper secondary school completed,,,77.4
2012,upper secondary school completed,,,76.7
2013,upper secondary school completed,,,78.4
2014,upper secondary school completed,,,78.9
2015,upper secondary school completed,,,79.0
2016,upper secondary school completed,,.,
2017,upper secondary school completed,,.,
2018,upper secondary school completed,,,79.2
2019,upper secondary school completed,,,79.5
2020,upper secondary school completed,,|,80.6
2021,upper secondary school completed,,,77.1
2022,upper secondary school completed,,,76.7
2023,upper secondary school completed,,p,77.1
2010,upper secondary school completed,female,,79.1
2011,upper secondary school completed,female,,79.2
2012,upper secondary school completed,female,,78.7
2013,upper secondary school completed,female,,79.9
2014,upper secondary school completed,female,,80.2
2015,upper secondary school completed,female,,80.7
2016,upper secondary school completed,female,.,
2017,upper secondary school completed,female,.,
2018,upper secondary school completed,female,,81.7
2019,upper secondary school completed,female,,82.1
2020,upper secondary school completed,female,|,84.3
2021,upper secondary school completed,female,,80.7
2022,upper secondary school completed,female,,80.0
2023,upper secondary school completed,female,p,80.6
2010,upper secondary school completed,male,,75.3
2011,upper secondary school completed,male,,75.7
2012,upper secondary school completed,male,,74.9
2013,upper secondary school completed,male,,77.0
2014,upper secondary school completed,male,,77.6
2015,upper secondary school completed,male,,77.4
2016,upper secondary school completed,male,.,
2017,upper secondary school completed,male,.,
2018,upper secondary school completed,male,,76.9
2019,upper secondary school completed,male,,77.2
2020,upper secondary school completed,male,|,77.2
2021,upper secondary school completed,male,,73.8
2022,upper secondary school completed,male,,73.7
2023,upper secondary school completed,male,p,73.9
