Year,Zeitreihe,Value
2010,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,636.0
2011,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,733.1
2012,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,642.4
2013,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,672.1
2014,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,902.1
2015,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,909.5
2016,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,899.4
2017,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,936.0
2018,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,991.9
2019,Bruttoentwicklungs-ausgaben (ODA) für Wasser und Sanitär,866.3
2010,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,47.6
2011,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,87.7
2012,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,58.8
2013,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,77.4
2014,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,74.9
2015,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,105.2
2016,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,107.8
2017,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,68.5
2018,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,65.5
2019,Bruttoentwicklungs-ausgaben (ODA) für verwandte Zwecke,67.1
